"D0_32F_MEF" "D3_32F_MEF" "D7_32F_MEF" "D13_Primed_32F_KSR" "D21_Primed_32F_KSR" "P3_Primed_32F_KSR" "P10_Primed_32F_KSR" "D13_Naive_32F_Naive" "D21_Naive_32F_Naive" "P3_Naive_32F_Naive" "P10_Naive_32F_Naive"
"ACAD10" 0.643630131863268 0.731318637434563 0.668017397896034 0.536288754585644 1.04185745187204 0.637219973627049 0.773751169433651 0.965273817703562 0.952683299520482 0.66469122762297 0.791994117615336
"ACAD11" 0.0714250328408872 0.0494640230911288 0.117817742586255 0.07865477630177 0.0362909490964017 0.0986499537577807 0.0882066153796877 0.0312775038371736 0.0733364684407585 0 0.0117393517989915
"ACAD8" 11.1097782030547 14.1767369091219 15.9077605984473 13.0306428232319 36.4744876314566 19.7934553147847 21.4325240681977 17.8768880954632 18.1028520191645 15.5422746899012 19.3512016592123
"ACAD9" 2.23873773270659 2.59566039497424 3.43079099594015 2.69895736244649 3.30241700711232 2.85933578186572 2.11071369702287 5.07572634530036 2.54705199335554 2.17074362430213 2.67065452948624
"ACADL" 0.0431699247382131 1.93729289132413 0.22431178629706 0.0267410508470758 0.36192044163131 0.238499635758722 0.106625724788573 0 0.0398926920647825 0.0327131672233768 0.0319291585969689
"ACADM" 1.86039414296937 4.07378893064001 5.35881642853115 3.9365067732271 5.01282380868602 3.44497115746527 5.84541134636838 8.3702875358804 4.50709728370988 6.55602411873963 4.83418436501957
"ACADS" 0.226875786936163 0.671681296699427 0.631527372153799 0.245936719478571 0.69165142590118 0.235015144548877 0.140090557058773 0.894153941943434 0.838610301971463 0.601724223679937 0.335601835158387
"ACADSB" 8.21271579467756 13.3844910247785 12.8251496522327 5.05679781045342 4.84752358037215 7.38096431394136 9.79817380671861 5.29769641464279 2.16619305356025 2.98127207471333 2.25511241052552
"ACADVL" 28.7642087676151 44.3972857002084 31.2530588228912 33.6668889733517 34.0569350200842 20.161260562484 15.2472737126868 10.3058518190532 19.1172194787834 14.3472936317459 12.5835145979508
"ACAN" 0.00562796257120852 0.0140311313025826 0 0.0348616853503358 0.317411060970632 0.0621852843819674 0.139005474732016 0.0443614101452982 0.280838738427469 0.230295929842508 0.0999007214973581
"ACAP1" 0.433258979709083 0.607591357425522 0.321603180445402 0.268376664462823 3.05441779961462 0.822804594460665 2.20710113786062 0 0.200184123167315 0.0820784002995198 0.480667782973236
"ACAP2" 4.25024503594163 9.54748472418363 6.02430440486183 4.76517511070353 6.25143711923567 4.00428936044658 6.82826320515112 11.6725720328305 6.19350554396568 7.18472114001148 4.82200410641886
"ACAP3" 1.61824575996945 3.4488169646756 2.63490195066196 1.61677642003956 2.06883218572592 1.51407893041398 1.16039539907595 1.44014085415844 1.01301093128519 0.632913076680834 1.62157954308738
"ACAT1" 18.3866048565407 33.4895973335017 25.581852176816 13.8554667601429 13.5732210108201 9.44441633210472 14.262001372655 11.0194049270075 9.29578809518122 13.0808451952002 9.30577808849483
"ACAT2" 8.11043779172991 6.84974765241667 14.1067035946629 12.1584462504676 21.7261700502002 22.0060509382214 16.4760498758023 19.5759158497115 14.4351279908621 21.1288095004689 16.8244980897377
"ACBD3" 11.0314641543663 24.7187925901022 24.4655542497506 17.029579403255 21.2464430991992 16.9912696278553 16.7141605802181 37.9378475688407 20.1923307250417 25.2969947994966 22.2700641198771
"ACBD4" 0.491339352489216 0.0907380138697227 0.297175654700466 0.180357806972183 0.332865023573597 0.226207360242156 0.202260466030483 0.286881090500781 0.134530211549401 0.0275796711078378 0.0538373852242058
